model,seed,Recall@10,NDCG@10,MRR,gender_recall_gap,age_band_recall_gap,disability_recall_gap,imd_binary_recall_gap,gender_SPD,gender_EOD,gender_AOD,age_band_SPD,age_band_EOD,age_band_AOD,disability_SPD,disability_EOD,disability_AOD,imd_SPD,imd_EOD,imd_AOD,run_time_sec
sasrec_fair_lam0.1,1,0.03351761065331525,0.019373096776672694,0.015078109521105245,0.005304514910704772,0.02108296345678146,0.0012470720979351202,0.01692741703974442,0.0011884565772786737,0.005304514910704772,0.0032217882916817098,0.006661661693862307,-0.00755790747812481,-0.0003720868127903582,-0.0029668394730501396,0.0012470720979351202,-0.0008829975131773755,-0.002704695769998891,0.008537244167992383,0.002856072549867767,1904.2830183506012
sasrec_fair_lam0.5,1,0.029901602864990787,0.01642666686796586,0.012334880291488198,0.003346743231675279,0.0263635725689023,0.006446681808190666,0.010600295383687095,0.001408140164274492,0.003346743231675279,0.002363563107344613,0.0066365621995162286,-0.004538702391744313,0.0011091190180467832,-0.0027576647001582924,0.006446681808190666,0.00179522590223429,-0.002782312959907489,0.0051150061758025445,0.001123477912146422,707.5503418445587
sasrec_fair_lam1.0,1,0.027745905914258892,0.014993864074416966,0.011146901420188163,0.0055284197996230515,0.019075688730607065,0.0019504212055021022,0.012809131188684604,0.001328616438666469,0.0055284197996230515,0.003402471965276153,0.006640357718331727,-0.0037725872748216975,0.0014901729574888726,-0.0030580036553968584,-0.0019504212055021022,-0.002511518195406841,-0.0028334072790970055,0.006155095033955917,0.0016121204185712019,626.2305598258972
sasrec_fair_lam2.0,1,0.01234310350822294,0.005954997875430597,0.004042635447141549,0.003187661423947507,0.009061569882129887,0.00031839134197715613,0.006579944848371502,0.0016115261216451474,0.003187661423947507,0.002384840902344273,0.006624077091931836,-0.0022630106115673846,0.0022296187554092196,-0.002897103895766244,0.00031839134197715613,-0.0013085468210073357,-0.0027938693703243866,0.005817019021119899,0.0014638947822934465,207.05022883415222
sasrec_rerank_a0.1,1,0.04106254998087688,0.022493439893126115,0.01687370960344779,0.0031632958223574217,0.018735051431846225,0.004878413525230885,0.015486478769393693,0.0014075462513377865,0.0031632958223574217,0.002274258667870562,0.0067818994081803585,-0.007261979037320905,-0.0001653389674335648,-0.0030128550078947075,0.004878413525230885,0.0008909923758625392,-0.0025636673588602665,0.012065156445075574,0.004673205055175357,488.59430027008057
sasrec_rerank_a0.3,1,0.03925454608671465,0.021689949181886128,0.016383862516646492,0.0016208562495637208,0.01684619568077753,0.006479826166380785,0.01551649430820725,0.0012653702738916334,0.0016208562495637208,0.0014389948387070264,0.0068679687218773725,-0.0069929312233111,1.1352468773772467e-05,-0.0029396275879774864,0.006479826166380785,0.001720258622988701,-0.0025668259282951925,0.011900753275714299,0.004590162930327664,483.34566044807434
sasrec_rerank_a0.5,1,0.03758561941518028,0.020821964656017426,0.015758332353721944,0.0008148074669253116,0.015255580311456522,0.005131835260181822,0.016837370423303754,0.001299685363009076,0.0008148074669253116,0.0010572625526868475,0.0068212992398699115,-0.007253524924914538,-0.00014106121155898002,-0.0028536305035322743,0.005131835260181822,0.0010966193200638331,-0.0026356021612974415,0.012072100845004638,0.004640090223572212,856.9705991744995
sasrec_rerank_a0.7,1,0.03591669274364591,0.019788593928304576,0.014918819190228394,0.000994977717525082,0.018169271884118994,0.005381271896347441,0.016665935518926336,0.0012926583897156577,0.000994977717525082,0.001142589610026723,0.006800317929157765,-0.006190860248725512,0.00037416068113862305,-0.0028097943336755707,0.005381271896347441,0.0012420859579201741,-0.0027442671408979477,0.011160310561106258,0.004133978872296582,479.24977684020996
sasrec_rerank_a1.0,1,0.032648378011891105,0.017586967655816618,0.013059820314435939,0.002075734697101622,0.02469254925352187,0.007400620036937845,0.017531768369317347,0.001378817566167194,0.002075734697101622,0.001720328099442954,0.006777345254352737,-0.006149831923618718,0.0003830292853278412,-0.0029212933897139054,0.007400620036937845,0.002184733844522925,-0.0026389822886945594,0.011793287901246483,0.0045001441474764505,1729.8693623542786
llm,1,0.03,0.013614966667506934,0.0086984126984127,0.007246376811594204,0.03142857142857143,0.03260869565217391,0.03111111111111111,0.010474244822655542,-0.007246376811594204,0.0017044059038608516,0.010421856698421307,-0.004761904761904762,0.0029121731938323344,-0.0016261407082529544,-0.03260869565217391,-0.01695233048511429,-0.0007763872655645043,-0.0003418803418803393,-0.0005604399061422231,794.7333414554596
